age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
48,156.8,77.6,H,oui,doctorat,Île-de-France,oui,oui,4010.0,veuf,2.0,0.57,577.0,694.0740000000001,40137.50246898064
41,172.6,62.4,F,non,bac+2,Île-de-France,oui,non,4319.0,célibataire,5.0,0.08,557.0,802.2199999999999,500.0
43,153.2,69.8,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4897.0,veuf,0.0,0.27,768.0,764.0600000000001,35962.04802835945
45,168.0,58.7,F,non,bac,Provence-Alpes-Côte d’Azur,non,non,4231.0,marié,2.0,0.06,577.0,785.024,500.0
21,162.0,79.6,H,non,aucun,Hauts-de-France,oui,oui,645.0,veuf,4.0,0.03,818.0,643.462,500.0
75,147.7,54.3,F,non,master,Bretagne,non,non,2452.0,marié,4.0,0.49,380.0,743.9340000000001,500.0
60,164.2,79.5,H,oui,master,Île-de-France,non,oui,2571.0,divorcé,2.0,0.41,577.0,910.4280000000001,33049.468422152735
29,178.0,76.3,H,non,bac,Île-de-France,oui,oui,3121.0,célibataire,1.0,0.72,701.0,867.894,7051.1771065952
68,185.4,56.5,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2285.0,célibataire,1.0,0.21,792.0,903.858,2724.919805153449
27,157.7,52.5,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2483.0,veuf,2.0,0.99,666.0,265.2039,26282.620988748466
35,178.6,70.5,H,oui,aucun,Hauts-de-France,non,oui,4243.0,veuf,2.0,0.02,359.0,744.2259999999999,14306.900020371317
62,165.3,86.1,F,non,aucun,Corse,oui,non,4340.0,célibataire,2.0,0.7,698.0,1004.67,500.0
23,170.8,46.7,H,oui,bac+2,Bretagne,oui,oui,531.0,divorcé,1.0,0.96,553.0,749.9680000000001,500.0
37,166.2,85.2,F,oui,bac,Île-de-France,non,oui,2743.0,divorcé,5.0,0.49,557.0,847.452,16741.9804046619
27,160.6,71.5,F,oui,doctorat,Occitanie,non,oui,500.0,veuf,2.0,0.23,577.0,656.9540000000001,14504.604268333092
49,156.9,68.6,H,non,bac+2,Corse,non,oui,1711.0,veuf,5.0,0.53,557.0,1000.064,500.0
41,177.4,82.0,H,oui,bac+2,Occitanie,non,oui,1882.0,veuf,5.0,0.2,557.0,897.3520000000001,28685.37160497041
45,162.2,46.1,F,non,bac,Hauts-de-France,oui,oui,1084.0,veuf,4.0,0.98,820.0,660.0959999999999,500.0
43,161.9,56.7,H,non,aucun,Occitanie,non,oui,2740.0,divorcé,4.0,0.1,486.0,773.51,6726.144540197254
23,162.8,42.8,H,non,bac,Bretagne,non,non,1797.0,divorcé,1.0,0.04,595.0,546.16,500.0
40,155.4,74.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2165.0,marié,1.0,0.84,846.0,887.1,500.0
68,161.0,63.5,F,non,master,Bretagne,oui,oui,2107.0,divorcé,5.0,0.84,557.0,688.7,8921.973730630438
48,188.6,81.7,F,oui,master,Normandie,oui,oui,1290.0,divorcé,5.0,0.49,331.0,703.8499999999999,8255.660172817976
57,171.0,39.3,F,non,aucun,Bretagne,oui,non,1029.0,marié,3.0,0.52,581.0,643.222,500.0
75,175.4,79.0,F,oui,aucun,Occitanie,non,oui,2362.0,divorcé,4.0,0.39,491.0,983.4,500.0
70,180.8,86.5,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5826.0,marié,5.0,0.62,557.0,627.648,29125.10607760429
21,172.5,75.1,F,oui,bac+2,Hauts-de-France,oui,oui,609.0,célibataire,3.0,1.0,581.0,723.68,500.0
20,179.9,73.5,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3332.0,célibataire,5.0,0.03,660.0,605.32,14791.054255033709
42,166.9,85.5,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3099.0,divorcé,2.0,0.73,577.0,901.918,14232.322333697375
55,182.7,74.8,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,1771.0,célibataire,0.0,0.09,301.0,731.594,500.0
67,176.1,75.2,H,non,doctorat,Île-de-France,non,oui,2979.0,veuf,4.0,0.56,376.0,1111.528,30331.9324936551
47,168.4,66.8,F,non,bac+2,Bretagne,non,oui,3877.0,divorcé,4.0,0.69,576.0,780.64,26198.455079027182
19,152.9,55.7,H,oui,aucun,Île-de-France,non,oui,1772.0,divorcé,3.0,0.42,581.0,731.594,12454.328982490384
65,176.8,59.5,H,oui,bac,Île-de-France,non,non,5181.0,veuf,4.0,0.56,576.0,868.6579999999998,14858.463980839962
53,178.0,43.5,H,oui,master,Normandie,oui,oui,2952.0,célibataire,0.0,0.03,630.0,1101.41,24462.730419394706
59,151.6,78.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,500.0,célibataire,3.0,0.38,581.0,672.52,500.0
20,171.6,88.3,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,500.0,célibataire,2.0,0.2,577.0,921.64,500.0
34,176.9,43.0,F,oui,doctorat,Normandie,non,oui,1863.0,marié,4.0,0.92,576.0,542.182,14449.054890309168
54,164.4,80.1,F,oui,aucun,Bretagne,oui,oui,1363.0,marié,4.0,0.44,576.0,843.1179999999998,500.0
66,151.8,58.3,H,non,master,Hauts-de-France,non,non,2612.0,célibataire,1.0,0.25,553.0,1307.961000000001,500.0
69,185.7,71.8,F,non,aucun,Occitanie,non,oui,936.0,veuf,2.0,0.28,577.0,1073.3439999999998,500.0
59,168.4,72.7,H,oui,master,Bretagne,non,non,1251.0,marié,4.0,0.86,710.0,926.12,4878.545755190827
35,154.3,90.8,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,614.0,veuf,5.0,0.95,557.0,821.99,500.0
64,156.4,52.9,H,non,aucun,Occitanie,non,non,1541.0,marié,1.0,0.33,553.0,781.294,500.0
51,189.5,66.6,F,oui,aucun,Hauts-de-France,non,non,4944.0,marié,1.0,0.92,553.0,844.9,500.0
36,168.7,94.1,H,non,bac+2,Île-de-France,oui,oui,2002.0,divorcé,0.0,0.23,651.0,729.854,9001.546015414096
23,166.6,66.8,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,2582.0,marié,3.0,0.83,581.0,846.1379999999999,10903.397392817302
64,161.4,69.0,F,non,aucun,Île-de-France,oui,oui,3318.0,veuf,5.0,0.61,557.0,791.566,2720.813788949977
22,173.5,61.9,H,oui,bac,Île-de-France,non,oui,796.0,veuf,3.0,0.88,581.0,588.964,10822.827044993295
63,186.8,70.6,F,oui,aucun,Occitanie,non,oui,3885.0,divorcé,3.0,0.5,581.0,727.296,15757.66361823247
47,160.5,48.4,H,non,aucun,Bretagne,oui,oui,3582.0,divorcé,5.0,0.12,557.0,724.76,3735.658720627448
56,180.2,72.9,F,non,master,Normandie,oui,oui,500.0,célibataire,0.0,0.14,580.0,654.534,500.0
51,172.0,76.7,F,oui,aucun,Corse,oui,non,3527.0,marié,5.0,0.03,557.0,654.46,500.0
22,160.1,71.0,F,non,bac,Occitanie,oui,non,2450.0,divorcé,2.0,0.86,791.0,739.94,500.0
30,172.0,45.4,F,oui,bac,Hauts-de-France,oui,non,2893.0,célibataire,0.0,0.05,580.0,793.96,500.0
57,171.9,88.1,H,non,bac,Provence-Alpes-Côte d’Azur,oui,non,4262.0,veuf,3.0,0.89,581.0,773.284,500.0
34,170.4,86.6,H,non,master,Normandie,oui,oui,2399.0,marié,5.0,0.01,818.0,942.9739999999999,11737.23847284871
71,169.8,73.9,H,non,bac+2,Bretagne,oui,oui,1287.0,célibataire,2.0,0.63,800.0,757.766,2814.1386162062663
28,178.2,72.8,F,non,aucun,Hauts-de-France,oui,oui,1768.0,marié,2.0,0.71,830.0,792.952,500.0
23,158.8,44.8,F,non,doctorat,Bretagne,oui,non,1713.0,divorcé,0.0,0.58,803.0,929.5619999999999,500.0
44,162.3,45.4,F,non,aucun,Normandie,oui,oui,1962.0,marié,1.0,0.7,363.0,652.8120000000001,500.0
35,153.7,76.8,F,oui,doctorat,Bretagne,non,oui,2789.0,célibataire,4.0,0.64,576.0,899.832,29152.59717199099
57,160.5,80.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,2623.0,divorcé,2.0,0.54,562.0,923.994,4383.465051415476
41,179.0,35.9,F,oui,master,Île-de-France,non,non,2699.0,célibataire,5.0,0.33,557.0,794.1120000000001,8620.740440969317
68,177.0,86.3,H,oui,aucun,Bretagne,non,non,3059.0,divorcé,4.0,0.75,576.0,879.924,500.0
21,172.1,54.2,F,non,bac+2,Occitanie,non,oui,500.0,veuf,3.0,0.22,581.0,656.9540000000001,2571.4279977966503
75,156.9,88.8,F,oui,bac,Bretagne,oui,oui,989.0,marié,2.0,0.26,843.0,728.932,12906.990479801343
32,178.3,78.4,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2538.0,veuf,2.0,0.91,458.0,810.39,21288.40814422946
30,164.7,69.6,H,non,bac,Hauts-de-France,non,oui,2830.0,veuf,3.0,0.26,581.0,805.29,7501.263720832778
23,157.2,47.2,H,oui,master,Île-de-France,oui,oui,3583.0,veuf,0.0,0.39,580.0,615.43,13702.678326689054
58,181.8,86.9,H,oui,doctorat,Occitanie,oui,oui,962.0,célibataire,5.0,0.87,557.0,825.348,14356.8655104378
62,186.6,78.8,F,oui,aucun,Île-de-France,non,oui,3271.0,marié,5.0,0.22,557.0,581.686,17984.913231590494
53,173.3,55.2,H,non,doctorat,Occitanie,oui,oui,699.0,veuf,4.0,0.82,521.0,989.81,9786.53291738366
32,177.5,71.4,H,oui,doctorat,Hauts-de-France,oui,non,1464.0,célibataire,5.0,0.76,391.0,420.05,500.0
19,178.3,47.7,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,4022.0,marié,3.0,0.53,474.0,705.9300000000001,20399.31047104829
29,153.8,60.9,F,oui,doctorat,Occitanie,non,oui,4116.0,marié,5.0,0.42,557.0,799.154,32226.988031995694
68,158.3,87.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3955.0,marié,4.0,0.94,576.0,933.28,10639.305587861045
29,172.3,77.4,H,non,bac,Bretagne,non,non,2483.0,marié,4.0,0.71,721.0,773.7839999999999,500.0
53,158.6,72.2,H,oui,aucun,Occitanie,non,non,1371.0,divorcé,5.0,0.94,557.0,1069.99,500.0
60,156.9,78.6,F,non,bac+2,Normandie,non,oui,2340.0,marié,2.0,0.06,577.0,951.594,15184.584884713417
45,168.8,91.3,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2906.0,célibataire,1.0,0.44,662.0,1166.1,29132.162879314223
23,177.3,71.7,H,oui,bac+2,Hauts-de-France,non,non,1513.0,veuf,3.0,0.65,682.0,896.2460000000001,500.0
45,171.0,58.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,3352.0,veuf,1.0,0.01,553.0,627.354,500.0
52,171.4,76.8,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,2962.0,célibataire,4.0,0.4,576.0,1042.69,500.0
71,176.1,62.2,F,oui,bac,Bretagne,non,oui,1534.0,veuf,5.0,0.05,557.0,875.952,20138.50357849674
63,166.0,92.2,H,oui,bac+2,Normandie,non,oui,930.0,marié,1.0,0.46,303.0,965.2239999999999,8042.88785006186
36,159.9,71.4,H,non,doctorat,Corse,non,oui,4632.0,divorcé,3.0,0.41,581.0,265.2039,16683.472226033566
22,175.8,67.0,F,oui,aucun,Île-de-France,non,non,884.0,célibataire,1.0,0.13,698.0,684.7860000000001,500.0
72,160.5,77.5,H,non,master,Auvergne-Rhône-Alpes,oui,non,2445.0,veuf,5.0,0.85,438.0,904.8299999999999,500.0
51,175.3,60.4,H,oui,aucun,Normandie,oui,oui,2408.0,marié,4.0,0.29,697.0,813.6020000000001,2050.7157398082786
26,167.9,68.5,H,non,bac+2,Hauts-de-France,oui,oui,2262.0,marié,2.0,0.48,577.0,480.28200000000004,500.0
46,188.4,71.2,F,non,bac,Auvergne-Rhône-Alpes,oui,non,2298.0,marié,0.0,0.7,622.0,621.0379999999999,500.0
70,170.6,53.7,F,non,doctorat,Île-de-France,non,non,3247.0,célibataire,2.0,0.79,502.0,862.6780000000001,5257.865301498262
68,172.7,75.0,H,non,bac+2,Normandie,non,non,1217.0,marié,0.0,0.5,580.0,437.78,500.0
19,182.6,60.0,F,oui,bac+2,Corse,oui,non,1382.0,marié,1.0,0.97,460.0,1228.62,500.0
33,163.6,87.7,F,non,aucun,Île-de-France,oui,non,1517.0,marié,1.0,0.06,553.0,935.298,500.0
62,155.3,67.3,F,non,bac+2,Hauts-de-France,non,non,1915.0,veuf,0.0,0.7,580.0,758.8,500.0
62,167.7,69.7,F,non,aucun,Normandie,oui,oui,1393.0,marié,2.0,0.99,577.0,912.9540000000001,500.0
46,160.3,69.1,H,oui,master,Corse,non,oui,5582.0,célibataire,0.0,0.83,580.0,802.5,32624.62424784305
66,180.2,87.2,H,non,master,Corse,non,non,4100.0,marié,0.0,0.21,743.0,782.6560000000001,500.0
29,161.9,57.4,H,non,bac+2,Normandie,oui,non,2152.0,marié,4.0,0.88,576.0,968.0780000000001,500.0
37,153.9,57.1,F,non,bac+2,Hauts-de-France,oui,non,2652.0,marié,1.0,0.21,553.0,729.004,500.0
49,186.6,65.8,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1522.0,célibataire,1.0,0.09,450.0,824.2639999999999,500.0
22,164.1,45.9,H,non,bac+2,Bretagne,non,oui,1290.0,marié,2.0,0.38,577.0,265.2039,16857.98479163118
33,158.6,103.2,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3351.0,marié,0.0,0.18,580.0,607.458,22455.43441767607
72,165.0,56.5,H,oui,bac,Corse,oui,non,3613.0,célibataire,4.0,0.21,749.0,781.062,500.0
43,185.8,100.2,F,non,bac,Occitanie,non,non,3269.0,marié,4.0,1.0,470.0,578.6659999999999,500.0
58,162.8,79.3,F,oui,master,Hauts-de-France,oui,oui,3416.0,veuf,4.0,0.89,576.0,844.8520000000001,18587.129442140165
22,188.2,103.2,F,non,bac+2,Occitanie,non,oui,3905.0,marié,1.0,0.05,440.0,774.7239999999999,18399.61442914501
54,172.7,73.8,F,non,master,Corse,non,non,3156.0,veuf,3.0,0.71,581.0,922.3880000000001,500.0
72,169.0,77.0,F,non,bac,Corse,non,oui,1508.0,divorcé,2.0,0.46,577.0,917.68,500.0
32,167.6,61.5,H,oui,bac+2,Occitanie,non,oui,4698.0,célibataire,5.0,0.67,557.0,770.932,30376.436480777666
30,162.9,66.1,H,non,master,Bretagne,non,non,1633.0,célibataire,3.0,0.58,581.0,561.252,2580.1153810490573
28,176.0,83.2,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,6285.0,divorcé,2.0,0.4,577.0,983.2940000000001,19764.347867278266
66,168.4,44.0,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,1255.0,divorcé,3.0,0.03,327.0,1035.16,500.0
25,161.3,50.5,F,oui,bac+2,Normandie,oui,non,1439.0,veuf,0.0,0.44,509.0,892.3100000000001,500.0
39,171.8,71.4,H,oui,master,Corse,oui,oui,2884.0,veuf,0.0,0.55,408.0,851.738,22144.99931479974
52,160.9,66.4,F,oui,aucun,Occitanie,non,oui,1996.0,célibataire,5.0,0.44,557.0,616.422,11326.25449697811
57,173.7,75.8,F,non,doctorat,Corse,oui,non,500.0,célibataire,2.0,0.78,577.0,1056.134,500.0
25,168.5,88.3,F,oui,bac+2,Île-de-France,non,non,1191.0,marié,4.0,0.74,566.0,704.13,3326.8459813784034
22,173.3,72.5,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,706.0,célibataire,2.0,0.51,652.0,703.03,21170.17087603601
22,179.6,55.6,F,oui,aucun,Auvergne-Rhône-Alpes,oui,non,4170.0,marié,1.0,0.95,553.0,802.592,500.0
26,176.2,65.5,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,3486.0,veuf,3.0,0.92,581.0,648.73,3269.816402584081
42,152.8,87.7,H,non,bac,Auvergne-Rhône-Alpes,oui,non,3511.0,veuf,0.0,0.55,705.0,1055.98,500.0
30,149.7,60.8,F,non,bac+2,Normandie,non,non,2227.0,divorcé,5.0,0.18,557.0,812.692,500.0
20,178.7,37.7,F,oui,doctorat,Hauts-de-France,non,oui,1942.0,divorcé,4.0,0.84,321.0,732.624,15686.78132850265
60,168.9,59.8,H,non,master,Bretagne,oui,oui,2475.0,divorcé,3.0,0.98,581.0,865.6780000000001,25720.956678722483
20,167.7,67.8,F,oui,bac,Hauts-de-France,non,non,1034.0,célibataire,2.0,0.83,577.0,740.2379999999999,500.0
49,184.7,55.6,H,non,bac+2,Normandie,oui,non,2657.0,marié,5.0,0.46,557.0,646.33,500.0
66,156.1,85.5,F,oui,doctorat,Hauts-de-France,oui,non,3901.0,marié,5.0,0.72,684.0,774.7239999999999,3727.548198082763
38,192.8,86.4,H,oui,aucun,Bretagne,non,oui,2686.0,veuf,5.0,0.6,817.0,965.4459999999999,22474.032687219635
57,165.6,79.2,H,oui,aucun,Hauts-de-France,oui,oui,3673.0,veuf,4.0,0.1,425.0,764.5899999999999,1039.6814070236503
46,168.0,76.7,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3967.0,marié,5.0,0.93,525.0,767.962,9547.31726536674
