smoker,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
0,500.0,2.0,577.0,656.9540000000001,14504.604268333092
0,1711.0,5.0,557.0,1000.064,500.0
0,1882.0,5.0,557.0,897.3520000000001,28685.37160497041
1,1084.0,4.0,820.0,660.0959999999999,500.0
0,2740.0,4.0,486.0,773.51,6726.144540197254
0,1797.0,1.0,595.0,546.16,500.0
1,2165.0,1.0,846.0,887.1,500.0
1,2107.0,5.0,557.0,688.7,8921.973730630438
1,1290.0,5.0,331.0,703.8499999999999,8255.660172817976
1,1029.0,3.0,581.0,643.222,500.0
0,2362.0,4.0,491.0,983.4,500.0
1,5826.0,5.0,557.0,627.648,29125.10607760429
1,609.0,3.0,581.0,723.68,500.0
1,3332.0,5.0,660.0,605.32,14791.054255033709
0,3099.0,2.0,577.0,901.918,14232.322333697375
1,1771.0,0.0,301.0,731.594,500.0
0,2979.0,4.0,376.0,1111.528,30331.9324936551
0,3877.0,4.0,576.0,780.64,26198.455079027182
0,1772.0,3.0,581.0,731.594,12454.328982490384
0,5181.0,4.0,576.0,868.6579999999998,14858.463980839962
1,2952.0,0.0,630.0,1101.41,24462.730419394706
1,500.0,3.0,581.0,672.52,500.0
0,500.0,2.0,577.0,921.64,500.0
0,1863.0,4.0,576.0,542.182,14449.054890309168
1,1363.0,4.0,576.0,843.1179999999998,500.0
0,2612.0,1.0,553.0,1307.961000000001,500.0
0,936.0,2.0,577.0,1073.3439999999998,500.0
0,1251.0,4.0,710.0,926.12,4878.545755190827
1,614.0,5.0,557.0,821.99,500.0
0,1541.0,1.0,553.0,781.294,500.0
0,4944.0,1.0,553.0,844.9,500.0
1,2002.0,0.0,651.0,729.854,9001.546015414096
1,2582.0,3.0,581.0,846.1379999999999,10903.397392817302
1,3318.0,5.0,557.0,791.566,2720.813788949977
0,796.0,3.0,581.0,588.964,10822.827044993295
0,3885.0,3.0,581.0,727.296,15757.66361823247
1,3582.0,5.0,557.0,724.76,3735.658720627448
1,500.0,0.0,580.0,654.534,500.0
1,3527.0,5.0,557.0,654.46,500.0
1,2450.0,2.0,791.0,739.94,500.0
1,2893.0,0.0,580.0,793.96,500.0
1,4262.0,3.0,581.0,773.284,500.0
1,2399.0,5.0,818.0,942.9739999999999,11737.23847284871
1,1287.0,2.0,800.0,757.766,2814.1386162062663
1,1768.0,2.0,830.0,792.952,500.0
1,1713.0,0.0,803.0,929.5619999999999,500.0
1,1962.0,1.0,363.0,652.8120000000001,500.0
0,2789.0,4.0,576.0,899.832,29152.59717199099
0,2623.0,2.0,562.0,923.994,4383.465051415476
0,2699.0,5.0,557.0,794.1120000000001,8620.740440969317
0,3059.0,4.0,576.0,879.924,500.0
0,500.0,3.0,581.0,656.9540000000001,2571.4279977966503
1,989.0,2.0,843.0,728.932,12906.990479801343
0,2538.0,2.0,458.0,810.39,21288.40814422946
0,2830.0,3.0,581.0,805.29,7501.263720832778
1,3583.0,0.0,580.0,615.43,13702.678326689054
1,962.0,5.0,557.0,825.348,14356.8655104378
0,3271.0,5.0,557.0,581.686,17984.913231590494
1,699.0,4.0,521.0,989.81,9786.53291738366
1,1464.0,5.0,391.0,420.05,500.0
1,4022.0,3.0,474.0,705.9300000000001,20399.31047104829
0,4116.0,5.0,557.0,799.154,32226.988031995694
1,3955.0,4.0,576.0,933.28,10639.305587861045
0,2483.0,4.0,721.0,773.7839999999999,500.0
0,1371.0,5.0,557.0,1069.99,500.0
0,2340.0,2.0,577.0,951.594,15184.584884713417
0,2906.0,1.0,662.0,1166.1,29132.162879314223
0,1513.0,3.0,682.0,896.2460000000001,500.0
1,3352.0,1.0,553.0,627.354,500.0
1,2962.0,4.0,576.0,1042.69,500.0
0,1534.0,5.0,557.0,875.952,20138.50357849674
0,930.0,1.0,303.0,965.2239999999999,8042.88785006186
0,4632.0,3.0,581.0,265.2039,16683.472226033566
0,884.0,1.0,698.0,684.7860000000001,500.0
1,2445.0,5.0,438.0,904.8299999999999,500.0
1,2408.0,4.0,697.0,813.6020000000001,2050.7157398082786
1,2262.0,2.0,577.0,480.28200000000004,500.0
1,2298.0,0.0,622.0,621.0379999999999,500.0
0,3247.0,2.0,502.0,862.6780000000001,5257.865301498262
0,1217.0,0.0,580.0,437.78,500.0
1,1382.0,1.0,460.0,1228.62,500.0
1,1517.0,1.0,553.0,935.298,500.0
0,1915.0,0.0,580.0,758.8,500.0
1,1393.0,2.0,577.0,912.9540000000001,500.0
0,5582.0,0.0,580.0,802.5,32624.62424784305
0,4100.0,0.0,743.0,782.6560000000001,500.0
1,2152.0,4.0,576.0,968.0780000000001,500.0
1,2652.0,1.0,553.0,729.004,500.0
0,1522.0,1.0,450.0,824.2639999999999,500.0
0,1290.0,2.0,577.0,265.2039,16857.98479163118
1,3351.0,0.0,580.0,607.458,22455.43441767607
1,3613.0,4.0,749.0,781.062,500.0
0,3269.0,4.0,470.0,578.6659999999999,500.0
1,3416.0,4.0,576.0,844.8520000000001,18587.129442140165
0,3905.0,1.0,440.0,774.7239999999999,18399.61442914501
0,3156.0,3.0,581.0,922.3880000000001,500.0
0,1508.0,2.0,577.0,917.68,500.0
0,4698.0,5.0,557.0,770.932,30376.436480777666
0,1633.0,3.0,581.0,561.252,2580.1153810490573
1,6285.0,2.0,577.0,983.2940000000001,19764.347867278266
1,1255.0,3.0,327.0,1035.16,500.0
1,1439.0,0.0,509.0,892.3100000000001,500.0
1,2884.0,0.0,408.0,851.738,22144.99931479974
0,1996.0,5.0,557.0,616.422,11326.25449697811
1,500.0,2.0,577.0,1056.134,500.0
0,1191.0,4.0,566.0,704.13,3326.8459813784034
0,706.0,2.0,652.0,703.03,21170.17087603601
1,4170.0,1.0,553.0,802.592,500.0
0,3486.0,3.0,581.0,648.73,3269.816402584081
1,3511.0,0.0,705.0,1055.98,500.0
0,2227.0,5.0,557.0,812.692,500.0
0,1942.0,4.0,321.0,732.624,15686.78132850265
1,2475.0,3.0,581.0,865.6780000000001,25720.956678722483
0,1034.0,2.0,577.0,740.2379999999999,500.0
1,2657.0,5.0,557.0,646.33,500.0
1,3901.0,5.0,684.0,774.7239999999999,3727.548198082763
0,2686.0,5.0,817.0,965.4459999999999,22474.032687219635
1,3673.0,4.0,425.0,764.5899999999999,1039.6814070236503
1,3967.0,5.0,525.0,767.962,9547.31726536674
1,1195.0,3.0,581.0,898.0419999999998,500.0
1,2011.0,1.0,805.0,631.0799999999999,1113.829489318093
1,3034.0,3.0,581.0,831.9,19524.748467578767
0,3667.0,2.0,580.0,761.8560000000001,9768.568084750788
1,2991.0,2.0,577.0,826.1020000000001,3956.1305457758576
1,1246.0,0.0,580.0,869.5260000000001,500.0
1,3298.0,3.0,784.0,265.2039,15117.602265736034
0,2225.0,2.0,650.0,832.6899999999999,14448.913633781498
0,2352.0,1.0,553.0,1133.498,25896.143475960027
0,1659.0,4.0,684.0,850.1899999999999,20424.118436131917
1,2488.0,1.0,484.0,532.08,6745.451611897515
0,3375.0,1.0,571.0,817.388,9432.456600866117
0,2072.0,5.0,461.0,739.762,500.0
0,4057.0,4.0,326.0,671.08,32056.67702970769
1,1380.0,3.0,581.0,628.76,500.0
1,2151.0,5.0,628.0,857.402,500.0
1,1349.0,3.0,646.0,860.576,2970.217234330531
1,3168.0,1.0,553.0,812.64,21583.85196791177
0,3212.0,2.0,577.0,1208.838,22800.89475109125
0,3343.0,2.0,348.0,962.72,6134.9710680646285
1,3117.0,0.0,580.0,775.152,500.0
1,1289.0,5.0,557.0,802.31,500.0
1,2980.0,1.0,553.0,1105.318,19494.724237604543
1,1907.0,5.0,557.0,414.25,500.0
1,2709.0,2.0,522.0,733.522,500.0
0,1697.0,2.0,340.0,567.06,500.0
0,1938.0,5.0,557.0,941.8900000000001,500.0
0,3205.0,3.0,374.0,950.268,500.0
1,500.0,2.0,577.0,482.6199999999999,18955.86650945091
1,2013.0,1.0,553.0,473.8959999999999,500.0
1,546.0,3.0,581.0,804.278,500.0
0,1360.0,2.0,577.0,934.824,34232.663162465586
1,2174.0,1.0,553.0,950.7280000000001,8190.753263564347
1,5329.0,0.0,580.0,734.358,500.0
0,1476.0,5.0,557.0,854.3100000000001,500.0
1,2950.0,5.0,381.0,635.04,8579.126158269033
1,1623.0,0.0,358.0,820.8900000000001,500.0
1,2834.0,2.0,577.0,734.644,7275.274272172118
1,1985.0,2.0,577.0,939.4,500.0
1,3389.0,0.0,806.0,891.9200000000001,500.0
0,3724.0,3.0,581.0,658.432,21122.961389310374
0,500.0,2.0,577.0,821.9,2652.4243939331814
0,4364.0,0.0,580.0,927.848,30990.60213328678
0,2944.0,4.0,576.0,627.48,16790.505552595772
0,2026.0,3.0,736.0,511.742,500.0
1,3895.0,4.0,305.0,782.57,26830.76427175912
1,2846.0,2.0,577.0,745.922,500.0
0,1787.0,4.0,335.0,1028.93,500.0
0,2324.0,2.0,387.0,688.5319999999999,500.0
1,2303.0,2.0,378.0,1283.23,500.0
0,3360.0,5.0,732.0,563.0400000000001,19703.480412800287
0,2251.0,4.0,576.0,659.45,12152.228172828332
1,2394.0,4.0,726.0,1014.7880000000001,12317.093619693276
1,2753.0,0.0,484.0,543.38,500.0
1,2441.0,0.0,580.0,824.8100000000001,500.0
1,2484.0,2.0,839.0,809.838,13403.464193304111
1,3411.0,1.0,422.0,893.082,28468.332550649942
1,4744.0,5.0,761.0,1067.7759999999998,15944.351571310635
1,500.0,1.0,440.0,837.7660000000002,500.0
1,2270.0,4.0,576.0,1220.4,9981.382567383063
0,3577.0,1.0,553.0,828.86,8908.267124870377
0,3146.0,0.0,580.0,922.6779999999999,500.0
0,1765.0,5.0,557.0,862.46,12869.386140401331
0,1414.0,5.0,651.0,265.2039,7879.098508780672
1,2773.0,1.0,553.0,1045.85,500.0
1,3732.0,0.0,755.0,817.408,10625.676850883963
0,4034.0,5.0,557.0,496.66,13979.88369121042
0,4370.0,5.0,557.0,889.0780000000001,43423.72961798803
0,1039.0,4.0,576.0,782.81,5377.4359066227125
1,3829.0,1.0,553.0,605.3019999999999,500.0
0,5645.0,5.0,690.0,735.356,23263.81823794237
0,3562.0,5.0,753.0,1086.9720000000002,25932.37750370768
1,2258.0,2.0,577.0,738.0439999999999,500.0
1,2938.0,1.0,553.0,789.244,500.0
0,2842.0,4.0,576.0,845.826,14628.460631927765
1,3055.0,2.0,686.0,1026.402,500.0
1,2490.0,2.0,577.0,798.15,500.0
1,3060.0,3.0,739.0,826.216,8243.367217368506
1,2997.0,3.0,805.0,688.184,500.0
0,2200.0,0.0,580.0,949.5260000000001,17015.694884436813
1,2232.0,2.0,569.0,564.1780000000001,500.0
0,500.0,5.0,557.0,806.098,500.0
1,500.0,5.0,557.0,548.06,500.0
0,3329.0,0.0,612.0,633.696,500.0
1,500.0,1.0,456.0,650.918,500.0
1,1181.0,4.0,576.0,840.9359999999999,500.0
0,3401.0,4.0,465.0,844.3279999999999,32916.89585109401
1,1410.0,4.0,576.0,922.086,500.0
0,2371.0,4.0,825.0,543.26,23746.99647292048
1,500.0,3.0,513.0,713.5759999999999,500.0
1,2564.0,4.0,576.0,663.52,500.0
0,2306.0,0.0,580.0,1007.164,500.0
0,500.0,0.0,580.0,656.9540000000001,17036.680201676703
1,2655.0,1.0,321.0,680.7280000000001,500.0
1,4143.0,3.0,581.0,695.612,4492.145732725343
1,1449.0,3.0,581.0,804.706,500.0
0,2670.0,3.0,801.0,564.33,36896.60980019855
0,2189.0,2.0,577.0,835.358,1998.9243449274347
1,2903.0,1.0,807.0,1055.61,500.0
0,2470.0,1.0,464.0,950.7300000000001,10783.05855056268
0,500.0,3.0,400.0,656.9540000000001,12534.086087338055
1,2481.0,5.0,579.0,792.6560000000001,14225.3372344427
0,1767.0,2.0,577.0,992.53,15635.971719797486
0,943.0,2.0,360.0,1044.474,5572.693231935993
0,2779.0,3.0,411.0,867.7819999999999,500.0
0,1621.0,3.0,385.0,945.82,16177.121288527109
0,2796.0,4.0,576.0,790.2540000000001,12787.499641856708
1,1641.0,4.0,576.0,713.54,500.0
0,500.0,0.0,331.0,806.098,3602.0572172903267
0,3212.0,5.0,557.0,1208.838,2371.972611770464
0,2613.0,0.0,670.0,1026.8200000000002,7438.027916673134
0,5345.0,1.0,363.0,734.358,28168.06385337335
0,1776.0,1.0,553.0,477.98199999999997,500.0
0,4510.0,5.0,557.0,1105.118,14476.711366790529
0,3432.0,1.0,553.0,864.9620000000001,28433.95647982497
0,4102.0,1.0,553.0,923.142,43887.63323854497
0,2161.0,3.0,581.0,421.1,500.0
0,3974.0,4.0,303.0,653.044,23670.74957331744
1,1245.0,4.0,576.0,760.462,500.0
1,3991.0,1.0,553.0,752.284,500.0
1,3686.0,2.0,390.0,566.08,7549.507251288014
1,2768.0,5.0,557.0,1002.6780000000001,6847.684831678455
1,1326.0,5.0,557.0,856.0459999999999,500.0
0,1272.0,1.0,553.0,770.01,500.0
0,2320.0,5.0,557.0,752.984,13337.63621486146
0,500.0,4.0,562.0,806.098,12483.11135845582
0,2521.0,4.0,576.0,663.058,27258.509415783898
0,565.0,4.0,468.0,734.92,500.0
0,626.0,3.0,655.0,770.38,500.0
1,3646.0,1.0,553.0,543.18,500.0
1,869.0,3.0,484.0,1053.52,500.0
1,3370.0,3.0,844.0,778.9879999999999,26325.54973326867
1,1974.0,4.0,576.0,695.816,9046.498896998608
0,3330.0,5.0,557.0,633.6960000000001,24341.10694073292
0,3155.0,2.0,510.0,737.7659999999998,500.0
1,3151.0,5.0,363.0,779.8300000000002,500.0
0,2542.0,2.0,421.0,955.692,500.0
0,1928.0,4.0,576.0,979.354,500.0
0,1311.0,4.0,576.0,871.0039999999999,500.0
1,2073.0,5.0,517.0,758.0060000000001,2957.735052299841
0,1726.0,0.0,580.0,706.24,18950.107921604256
0,1414.0,0.0,344.0,601.182,13904.822032884444
1,3963.0,2.0,577.0,869.858,500.0
0,4147.0,1.0,553.0,968.184,1303.426423485049
0,2762.0,5.0,440.0,817.188,500.0
1,3217.0,3.0,581.0,844.2139999999999,500.0
1,633.0,1.0,300.0,743.492,3681.716862447288
0,3344.0,2.0,791.0,934.3900000000001,500.0
0,3568.0,1.0,784.0,1006.02,38581.58326076975
1,3605.0,1.0,546.0,698.6139999999999,14852.347077061037
0,1995.0,5.0,488.0,591.5899999999999,11408.76158074839
0,2619.0,2.0,670.0,888.5279999999999,7589.296723322725
1,4122.0,0.0,615.0,281.27,37021.24314335338
1,2083.0,4.0,430.0,825.08,500.0
0,4064.0,1.0,553.0,1090.72,38597.40698768768
0,2119.0,2.0,682.0,1139.118,27709.49832108441
1,500.0,1.0,553.0,656.9540000000001,500.0
1,2471.0,5.0,557.0,867.3799999999999,500.0
1,1775.0,1.0,573.0,477.98199999999997,8427.679988847724
1,500.0,4.0,576.0,1257.37,500.0
0,1852.0,3.0,581.0,737.85,500.0
1,1185.0,1.0,423.0,761.76,500.0
0,1930.0,1.0,595.0,908.2480000000002,500.0
1,2403.0,2.0,577.0,981.972,500.0
1,1901.0,0.0,580.0,813.472,9346.241062621397
0,5059.0,5.0,557.0,835.2299999999999,3578.8122995430704
1,2448.0,1.0,413.0,437.72200000000004,500.0
1,3676.0,0.0,353.0,764.54,500.0
1,4607.0,0.0,523.0,867.14,500.0
0,3180.0,3.0,581.0,817.1200000000001,36556.59307284404
1,2429.0,5.0,644.0,808.754,500.0
1,2487.0,2.0,577.0,724.426,500.0
1,500.0,2.0,577.0,482.6199999999999,500.0
0,1996.0,3.0,541.0,565.184,500.0
1,2003.0,4.0,576.0,904.17,1428.5107814896191
1,795.0,2.0,307.0,588.964,500.0
0,2621.0,2.0,577.0,923.994,17700.961735700923
0,751.0,5.0,765.0,632.772,5304.565695489534
1,2377.0,3.0,638.0,505.65199999999993,7964.866269439541
0,1156.0,3.0,448.0,941.8459999999999,500.0
1,4514.0,1.0,553.0,1111.686,34340.561702198414
0,3260.0,0.0,580.0,906.808,12967.610492373218
0,2358.0,1.0,798.0,872.392,39095.70132515807
1,3388.0,4.0,840.0,905.408,500.0
0,3079.0,2.0,313.0,634.958,500.0
1,2030.0,0.0,509.0,773.268,17858.7134257502
0,1145.0,4.0,576.0,289.98,4885.126472172284
0,4096.0,1.0,553.0,931.21,10957.563256599551
0,4592.0,1.0,553.0,761.03,46866.76671580148
0,1693.0,0.0,580.0,713.068,9210.633097072685
0,1370.0,1.0,330.0,1153.82,500.0
0,1226.0,1.0,553.0,706.956,21253.504165053688
1,1434.0,3.0,581.0,827.5019999999998,9332.083526883216
1,1579.0,3.0,445.0,836.5600000000001,15798.705570103417
1,4095.0,0.0,580.0,780.928,7532.138945560896
0,1939.0,4.0,386.0,828.4619999999999,500.0
0,2961.0,4.0,576.0,770.1940000000001,500.0
1,3053.0,5.0,557.0,1078.0120000000002,23766.59476410503
0,3685.0,1.0,523.0,584.946,32008.185485476926
0,500.0,1.0,553.0,788.75,500.0
1,2558.0,1.0,576.0,778.72,11500.035406653124
1,500.0,5.0,557.0,265.2039,12737.218091515948
0,3770.0,1.0,553.0,609.818,24198.55602015513
0,612.0,3.0,743.0,758.374,500.0
1,500.0,0.0,580.0,643.82,500.0
0,991.0,2.0,827.0,885.4960000000001,500.0
1,2076.0,2.0,577.0,759.8219999999999,500.0
1,921.0,1.0,553.0,1052.648,1167.099525275034
0,4233.0,0.0,580.0,785.0239999999999,30444.41752606657
1,2990.0,3.0,581.0,735.9260000000002,24511.42535744556
1,1399.0,5.0,557.0,816.408,8067.806029332422
0,962.0,5.0,603.0,825.348,500.0
1,2701.0,1.0,822.0,1002.95,4822.7471556909
0,2647.0,3.0,581.0,611.7639999999999,500.0
0,1531.0,2.0,483.0,810.4300000000001,8937.89525243721
1,3906.0,4.0,576.0,774.7239999999999,23401.244236439383
1,500.0,2.0,468.0,1056.134,500.0
1,3131.0,2.0,825.0,733.4559999999999,7014.187179419071
0,3754.0,2.0,577.0,735.2259999999999,19334.15534027285
0,4451.0,4.0,576.0,465.01,21416.473603610186
1,3626.0,4.0,576.0,911.716,500.0
0,3685.0,4.0,576.0,584.946,500.0
0,1910.0,1.0,553.0,852.984,7377.783299074361
1,2077.0,1.0,553.0,720.8519999999999,14249.999087338869
1,4734.0,4.0,482.0,1011.82,17625.005304333405
1,4726.0,3.0,581.0,1031.674,9102.16224972496
0,3130.0,2.0,577.0,733.456,11840.820030828452
0,1444.0,2.0,797.0,913.1220000000001,3385.6371225579664
0,2713.0,2.0,577.0,825.626,500.0
1,3333.0,5.0,328.0,658.066,7445.877283247973
1,2861.0,4.0,576.0,873.222,500.0
0,2682.0,0.0,580.0,829.574,26379.13982790571
1,3325.0,5.0,475.0,726.55,500.0
0,2025.0,4.0,576.0,511.742,17653.584460874208
0,2297.0,3.0,671.0,529.67,25690.51083872613
1,4059.0,3.0,498.0,854.534,3835.433356742735
1,1776.0,1.0,553.0,651.034,500.0
0,3398.0,1.0,553.0,723.64,500.0
1,3778.0,1.0,758.0,1054.4919999999997,19998.243461066268
0,3345.0,0.0,580.0,816.9480000000001,26465.223591017195
1,1493.0,1.0,553.0,726.374,500.0
0,3362.0,1.0,553.0,563.04,27973.43076850212
0,1577.0,2.0,577.0,832.668,24900.96882567323
0,575.0,5.0,557.0,785.8320000000001,20715.72786040349
1,2108.0,3.0,323.0,433.51,500.0
0,2485.0,5.0,485.0,601.966,500.0
1,2554.0,1.0,323.0,870.4860000000001,11301.820807689632
1,2493.0,0.0,580.0,653.6880000000001,500.0
1,2211.0,1.0,553.0,988.784,500.0
1,1613.0,4.0,320.0,843.676,500.0
0,500.0,4.0,432.0,482.6199999999999,500.0
0,920.0,3.0,331.0,1052.648,500.0
1,2187.0,1.0,553.0,725.278,629.0174592264733
0,2856.0,4.0,576.0,862.2279999999998,1958.5691665117863
0,500.0,1.0,553.0,777.82,500.0
1,1985.0,3.0,740.0,939.4,500.0
0,1165.0,1.0,471.0,1033.8200000000002,500.0
1,2368.0,4.0,667.0,735.802,3095.6058161162705
0,1106.0,5.0,557.0,750.434,14892.129695892656
1,1142.0,4.0,522.0,758.066,500.0
0,1293.0,5.0,300.0,903.9860000000001,17767.617120803876
0,2206.0,1.0,575.0,816.0980000000001,27971.661874715537
1,1424.0,1.0,674.0,847.4560000000001,500.0
1,2435.0,3.0,581.0,625.13,500.0
1,2849.0,3.0,842.0,703.33,25262.999727345657
0,2990.0,3.0,323.0,735.9260000000002,8543.009391045001
0,2487.0,5.0,593.0,270.49,4617.462855473694
1,2496.0,2.0,601.0,654.658,500.0
0,832.0,2.0,577.0,786.1439999999999,500.0
1,1369.0,1.0,553.0,954.274,500.0
1,2849.0,3.0,387.0,703.33,500.0
0,1543.0,4.0,616.0,758.9179999999999,9974.5385387336
0,1993.0,2.0,577.0,586.99,500.0
1,2507.0,4.0,793.0,811.7779999999999,13941.527954181993
1,2694.0,3.0,581.0,1106.538,14236.835513896362
0,1963.0,5.0,557.0,639.77,13546.94566728572
0,2037.0,2.0,577.0,767.1800000000001,19778.35539078744
1,1053.0,2.0,418.0,797.332,17654.56282008825
1,2529.0,5.0,543.0,610.314,500.0
0,1625.0,4.0,576.0,691.964,21236.88883013472
1,3833.0,4.0,576.0,653.752,17664.586088599888
0,1844.0,3.0,581.0,794.01,8116.3580936528115
1,5209.0,5.0,458.0,1104.31,12083.48293955499
0,811.0,5.0,557.0,821.3880000000001,500.0
1,2085.0,0.0,842.0,900.376,750.1675818274242
0,4991.0,5.0,557.0,916.4460000000001,500.0
1,3565.0,5.0,557.0,1026.372,21054.2584713225
0,2898.0,5.0,672.0,474.01,12790.98416367052
1,1898.0,4.0,521.0,922.5859999999999,500.0
1,2437.0,2.0,531.0,607.1800000000001,10942.245205344045
1,4186.0,0.0,459.0,851.1479999999999,500.0
0,4621.0,3.0,581.0,760.6259999999999,5733.19825457975
0,663.0,4.0,576.0,741.508,500.0
1,3792.0,4.0,830.0,819.34,18379.00811212305
1,2638.0,1.0,553.0,741.266,23261.21905705174
0,3249.0,5.0,347.0,1023.518,33199.35478748699
1,860.0,1.0,442.0,793.6339999999999,500.0
0,2264.0,0.0,601.0,598.336,24271.219189403848
0,689.0,0.0,580.0,896.9680000000001,500.0
0,513.0,2.0,577.0,765.182,38745.50180230162
0,4345.0,1.0,709.0,680.27,19357.322553038
0,1841.0,0.0,580.0,743.36,500.0
1,2142.0,4.0,387.0,945.934,500.0
1,1111.0,4.0,400.0,765.8199999999999,500.0
1,1760.0,3.0,581.0,868.51,500.0
1,3212.0,0.0,807.0,883.242,500.0
0,3136.0,2.0,577.0,353.46,23950.74207967979
0,3049.0,5.0,655.0,967.476,500.0
0,1708.0,5.0,557.0,897.058,9625.845574796664
0,2234.0,1.0,341.0,742.184,10561.932639484903
0,1825.0,2.0,577.0,827.7299999999999,500.0
1,3285.0,1.0,525.0,843.2700000000001,500.0
